Province,2009,2010,2011,2012,2013
"('Federal', 'Small business')",11.0,11.0,11.0,11.0,11.0
"('British Columbia', 'Small business')",2.5,2.5,2.5,2.5,2.5
"('Alberta', 'Small business')",3.0,3.0,3.0,3.0,3.0
"('Saskatchewan', 'Small business')",4.5,4.5,4.5,2.0,2.0
"('Manitoba', 'Small business')",1.0,1.0,0.0,0.0,0.0
"('Ontario', 'Small business')",5.5,4.5,4.5,4.5,4.5
"('Quebec', 'Small business')",8.0,8.0,8.0,8.0,8.0
"('New Brunswick', 'Small business')",5.0,5.0,5.0,4.5,4.5
"('Nova Scotia', 'Small business')",5.0,5.0,4.5,4.0,3.5
"('Prince Edward Island', 'Small business')",3.2,2.1,1.0,1.0,1.0
"('Newfoundland and Labrador', 'Small business')",5.0,4.0,4.0,4.0,4.0
"('Yukon', 'Small business')",4.0,4.0,4.0,4.0,4.0
"('Northwest Territories', 'Small business')",4.0,4.0,4.0,4.0,4.0
"('Nunavut', 'Small business')",4.0,4.0,4.0,4.0,4.0
